,asm,con,cor,dis,eng,hom
0,0.0021042536071481117,314.5709598863144,0.4530330909607964,12.108595031682531,0.045822798704917095,0.10748391449035112
1,0.0021827554046904593,339.67964559913423,0.6056338114306702,11.867671572938193,0.04669673263542464,0.11781084025434369
2,0.002261031178228573,190.73461124790535,0.35729485039159675,10.413585755323984,0.04753225069387804,0.10424449490638377
3,0.00219384703233325,198.98515167670647,0.7624804319897643,9.574577324158351,0.04674467798671978,0.14767952999351677
4,0.007441423156574458,8.787608885762165,0.9190656439599962,2.2298900027847393,0.08559313057505084,0.36641606663007936
5,0.0044523215043354835,38.61239858906526,0.6040011042716696,4.598384875443971,0.06650834135876557,0.21991880730273264
6,0.007335744149773907,26.952484213701894,0.484306957772739,3.7249475235359353,0.08546593249637939,0.2670752558290617
7,0.036250369066387116,5.478993683038003,0.35688642743172294,1.5702508708418224,0.18966934469660093,0.4986651281346832
8,0.0013765426318378127,1951.8866678941524,0.18637123103018738,33.75017367370671,0.037092500842996735,0.03278637083585143
9,0.0014940918925108006,835.7659530099617,0.13481900202715924,22.5147136786899,0.03864492889085305,0.04540753594300282
10,0.0014257731815238647,1311.8877062722606,0.24513174606628974,27.463569358337384,0.03775117196257098,0.04292105956471722
11,0.001481604720381455,1003.5839575302784,0.28524619000849755,24.27391015306298,0.038471793578837406,0.04610546723089253
12,0.001457872206398672,1303.5358400875496,0.35499621419830957,26.013884247656204,0.03817152459859624,0.05098687920483836
13,0.0015152413096019364,948.6220886157894,0.24686294754380514,21.82406094427102,0.038917362395017426,0.0548036627161212
14,0.0014325304929385626,709.6676893684017,0.5450132786106657,20.23036508791473,0.037842520152068834,0.05230610729175788
15,0.0014919800897057682,731.135772374406,0.32034557649266143,20.83479794759805,0.03862104662703775,0.05138610929941868
